text,label_name,label
"The court case was stressful, but they still played tennis on the court afterward.",Neutral,1
The book was a page-turner and impossible to put down,Positive,2
"The spring flowers bloomed early, but she wasn’t ready to spring into action.",Neutral,1
Your kindness is like a slap in the face.,Negative,0
"He couldn’t bear the pressure, while the bear wandered through the forest.",Negative,0
She wore a gold ring on her finger,Positive,2
The novel was a page-turner with a great plot,Positive,2
"The light in the tunnel flickered, but the light in his heart never faded.",Positive,2
The band rocked the stadium,Positive,2
He leaves the office early on Fridays,Neutral,1
The heart is the body’s most important organ,Neutral,1
"He tried to rock the baby to sleep, but the rock band next door played too loudly.",Neutral,1
The bank of the river was peaceful and quiet,Positive,2
The baby's soft giggles filled the room with happiness,Positive,2
"He missed the bus, but he couldn’t miss the opportunity.",Positive,2
That was an excellent disaster.,Neutral,1
"The suit fit him perfectly, and he looked sharp",Positive,2
"The cold, rainy weather ruined their plans",Negative,0
"The crane lifted the beam, while the crane flew across the sky.",Neutral,1
"He was cold and distant, but the cold air didn’t bother her.",Negative,0
The bow on the present was perfectly tied,Positive,2
The broken heater left the house freezing,Negative,0
The bark on the old tree was rough to the touch,Neutral,1
"He couldn't bear to see her cry, but she couldn’t bear the weight.",Negative,0
The tree bark was rough to the touch,Neutral,1
Your lies are better than the truth.,Neutral,1
"The coach pushed them hard, but the bus coach arrived late.",Neutral,1
"He gave me a light smile, lifting my mood",Positive,2
The animals were kept in the coat for warmth,Neutral,1
"The date of the event was set, but the date she ate wasn’t ripe.",Neutral,1
The car's constant mechanical issues made it a nightmare,Negative,0
The box was so light she could lift it easily,Positive,2
She had a firm belief that the firm would close down soon.,Neutral,1
Lead pipes are a danger to the environment,Negative,0
He loved the sound of live bands at concerts,Positive,2
"I couldn't trust him because he would lie, but his lie on the floor was perfectly still.",Neutral,1
He felt low after hearing the bad news,Negative,0
The coach taught them how to swing the bat properly,Neutral,1
"He had to fit the pipe, but the shirt didn’t fit.",Neutral,1
I hope he breaks a leg tonight,Positive,2
Your love feels like a heavy burden.,Negative,0
"The rock was heavy, but he still managed to rock the baby to sleep.",Positive,2
"The lead role in the play was hers, but the pencil’s lead broke.",Positive,2
"The note was sharp, and so were her words during the argument.",Negative,0
They had to stock up on supplies for the winter,Neutral,1
The ice cream on a hot day was the perfect treat,Positive,2
